1,,プロローグ,負傷兵シモン,赤,人狼CO,兵:人狼CO ,.,.,,,,
2,,プロローグ,負傷兵シモン,赤,CO希望,:占い師 ,.,.,,,,
3,,プロローグ,負傷兵シモン,赤,Over,,.,.,,,,
4,1,1日目,宿屋の女主人レジーナ,白,CO ,宿:非占い師CO 宿:非霊能者CO ,.,.,,,,
5,2,1日目,パン屋オットー,白,CO ,屋:非占い師CO 屋:非霊能者CO ,.,.,,,,
6,3,1日目,老人モーリッツ,白,CO ,老:霊能者CO 老:非占い師CO ,.,.,,,,
7,4,1日目,青年ヨアヒム,白,CO ,青:非占い師CO 青:非霊能者CO ,.,.,,,,
8,5,1日目,負傷兵シモン,白,CO ,兵:霊能者CO 兵:非占い師CO ,.,.,,,,
9,6,1日目,老人モーリッツ,,Skip,,.,.,,,,
10,7,1日目,宿屋の女主人レジーナ,,Skip,,.,.,,,,
11,8,1日目,羊飼いカタリナ,白,CO ,羊:非占い師CO 羊:非霊能者CO ,.,.,,,,
12,9,1日目,司書クララ,白,CO ,書:非占い師CO 書:非霊能者CO ,.,.,,,,
13,10,1日目,神父ジムゾン,白,CO ,神:非占い師CO 神:非霊能者CO ,.,.,,,,
14,11,1日目,行商人アルビン,白,CO ,商:非占い師CO 商:非霊能者CO ,.,.,,,,
15,12,1日目,旅人ニコラス,白,CO ,旅:霊能者CO 旅:非占い師CO ,.,.,,,,
16,13,1日目,シスターフリーデル,白,CO ,修:非占い師CO 修:非霊能者CO ,.,.,,,,
17,14,1日目,老人モーリッツ,白,希望 ,,吊り希望:商.,.,,,,
18,15,1日目,宿屋の女主人レジーナ,白,希望 ,,吊り希望:商.,.,,,,
19,16,1日目,シスターフリーデル,,Skip,,.,.,,,,
20,17,1日目,行商人アルビン,,Skip,,.,.,,,,
21,18,1日目,旅人ニコラス,,Skip,,.,.,,,,
22,19,1日目,老人モーリッツ,白,考察 ,宿:非村人 宿:非霊能者 宿:人狼 羊:非村人 羊:非霊能者 羊:人狼 宿:村人 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 兵:非村人 兵:人狼 神:非村人 神:非霊能者 神:人狼 書:非村人 書:非霊能者 書:人狼 宿:村人 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 青:非村人 青:非霊能者 青:人狼 屋:非村人 屋:非霊能者 屋:人狼 商:非村人 商:非占い師 商:非霊能者 商:人狼 旅:非村人 旅:人狼 修:非村人 修:非霊能者 修:人狼 ,.,.,,,,
23,20,1日目,羊飼いカタリナ,,Skip,,.,.,,,,
24,21,1日目,老人モーリッツ,白,Over,,.,.,,,,
25,22,1日目,宿屋の女主人レジーナ,白,考察 ,老:村人寄り 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 老:村人寄り 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 羊:村人寄り 羊:非占い師 羊:非霊能者 羊:非狩人 羊:非狂人 羊:非人狼 兵:村人寄り 兵:非占い師 兵:非霊能者 兵:非狩人 兵:非狂人 兵:非人狼 神:非村人 神:非占い師 神:非霊能者 神:非狩人 神:非狂人 神:人狼寄り 書:村人寄り 書:非占い師 書:非霊能者 書:非狩人 書:非狂人 書:非人狼 青:村人寄り 青:非占い師 青:非霊能者 青:非狩人 青:非狂人 青:非人狼 屋:村人寄り 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 屋:非人狼 商:非村人 商:非占い師 商:非霊能者 商:非狩人 商:非狂人 商:人狼寄り 旅:非村人 旅:非占い師 旅:非霊能者 旅:非狩人 旅:非狂人 老:村人寄り 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 修:非村人 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 修:人狼寄り ,.,.,,,,
26,23,1日目,青年ヨアヒム,,Skip,,.,.,,,,
27,24,1日目,神父ジムゾン,,Skip,,.,.,,,,
28,25,1日目,パン屋オットー,,Skip,,.,.,,,,
29,26,1日目,宿屋の女主人レジーナ,白,Over,,.,.,,,,
30,27,1日目,老人モーリッツ,白,Over,,.,.,,,,
31,28,1日目,宿屋の女主人レジーナ,白,Over,,.,.,,,,
32,29,1日目,負傷兵シモン,,Skip,,.,.,,,,
33,30,1日目,司書クララ,,Skip,,.,.,,,,
34,31,1日目,行商人アルビン,白,希望 ,,吊り希望:修.,.,,,,
35,32,1日目,司書クララ,白,希望 ,,吊り希望:羊.,.,,,,
36,33,1日目,旅人ニコラス,白,希望 ,,吊り希望:修.,.,,,,
37,34,1日目,負傷兵シモン,白,希望 ,,吊り希望:修.,.,,,,
38,35,1日目,老人モーリッツ,白,Over,,.,.,,,,
39,36,1日目,宿屋の女主人レジーナ,白,Over,,.,.,,,,
40,37,1日目,羊飼いカタリナ,白,希望 ,,吊り希望:修.,.,,,,
41,38,1日目,青年ヨアヒム,白,希望 ,,吊り希望:修.,.,,,,
42,39,1日目,シスターフリーデル,白,希望 ,,吊り希望:旅.,.,,,,
43,40,1日目,パン屋オットー,白,希望 ,,吊り希望:修.,.,,,,
44,41,1日目,神父ジムゾン,白,希望 ,,吊り希望:宿.,.,,,,
45,42,1日目,シスターフリーデル,白,考察 ,宿:村人寄り 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 宿:非人狼 老:村人寄り 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 老:村人寄り 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 羊:村人寄り 羊:非占い師 羊:非霊能者 羊:非狩人 羊:非狂人 羊:非人狼 宿:村人寄り 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 宿:非人狼 兵:村人寄り 兵:非占い師 兵:非霊能者 兵:非狩人 兵:非狂人 兵:非人狼 神:村人寄り 神:非占い師 神:非霊能者 神:非狩人 神:非狂人 神:非人狼 書:村人寄り 書:非占い師 書:非霊能者 書:非狩人 書:非狂人 書:非人狼 宿:村人寄り 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 宿:非人狼 青:村人寄り 青:非占い師 青:非霊能者 青:非狩人 青:非狂人 青:非人狼 屋:村人寄り 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 屋:非人狼 商:村人寄り 商:非占い師 商:非霊能者 商:非狩人 商:非狂人 商:非人狼 旅:非村人 旅:非占い師 旅:非霊能者 旅:非狩人 旅:非狂人 旅:人狼寄り 老:村人寄り 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 ,.,.,,,,
46,43,1日目,行商人アルビン,白,考察 ,宿:村人寄り 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 宿:非人狼 老:村人寄り 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 老:村人寄り 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 羊:村人寄り 羊:非占い師 羊:非霊能者 羊:非狩人 羊:非狂人 羊:非人狼 宿:村人寄り 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 宿:非人狼 兵:村人寄り 兵:非占い師 兵:非霊能者 兵:非狩人 兵:非狂人 兵:非人狼 神:村人寄り 神:非占い師 神:非霊能者 神:非狩人 神:非狂人 神:非人狼 書:村人寄り 書:非占い師 書:非霊能者 書:非狩人 書:非狂人 書:非人狼 宿:村人寄り 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 宿:非人狼 青:村人寄り 青:非占い師 青:非霊能者 青:非狩人 青:非狂人 青:非人狼 屋:村人寄り 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 屋:非人狼 旅:非村人 旅:非占い師 旅:非霊能者 旅:非狩人 旅:非狂人 老:村人寄り 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 修:非村人 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 修:人狼寄り ,.,.,,,,
47,44,1日目,神父ジムゾン,白,考察 ,宿:村人寄り 宿:非占い師 宿:非霊能者 宿:人狼 老:村人寄り 老:非占い師 老:村人 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 羊:村人 羊:非霊能者 羊:人狼 宿:村人 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 兵:村人寄り 兵:非占い師 書:村人 書:非霊能者 書:人狼 宿:村人 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 青:村人 青:非霊能者 青:人狼 屋:村人 屋:非霊能者 屋:人狼 商:村人 商:非霊能者 商:人狼 旅:村人寄り 旅:非占い師 老:村人 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 修:村人 修:非霊能者 修:人狼 ,.,.,,,,
