1,1,プロローグ,楽天家ゲルト,,,,,,,,,,村人,人狼なんているわけないじゃん。みんな大げさだなあ,,,,,,,,,,,,,,,,,,,,,
2,2,プロローグ,少女リーザ,,,,,,,,,,狂人,私リザちゃん…今あなたの後ろにいるの…,,,,,,,,,,,,,,,,,,,,,
3,3,プロローグ,少女リーザ,,,,,,,,,,狂人,私リザちゃん…議題が出ていないの…私の前の人怠慢なの…タイマンしたらマブダチなの…Let'sダチ公なの…,,,,,,,,,,,,,,,,,,,,,
4,4,プロローグ,ならず者ディーター,,,,,,,,,,村人,なんか今、夜道で「ワタシ綺麗？」って聞かれたから、「わりーな、俺女に興味ないんだよ」つったらなんかダッシュで逃げられたんだけど,,,,,,,,,,,,,,,,,,,,,
5,5,プロローグ,少女リーザ,,,,,,,,,,狂人,私リザちゃん…今ダッシュしているの…,,,,,,,,,,,,,,,,,,,,,
6,6,プロローグ,ならず者ディーター,,,,,,,,,,村人,おいおい、リーザ、勘弁してくれよ。口裂け女撃退にはべっ甲飴かポマードか女に興味無いふり…常識だろ？んでだ。ほれリーザ、議題拾って来たぞ■1.コアタイム■2.仮決定／本決定の希望時間 ■3.やりたいこと／やりたくないこと■4.自己紹介など,,,,,,,,,,,,,,,,,,,,,
7,7,プロローグ,ならず者ディーター,,,,,,,,,,村人,■1.最悪23時までは戻れるかと思うぜ。遅くなるときゃ申告するな。昼間ぼちぼち来れるから寡黙にゃならんと思う■2.仮0:15  本0:45てとこか■3.愛のある殴りあいしよーぜ。突然死やらマナー違反やらは無しでいこーぜ■4.こんな風貌だが、一応気持ちは正義の味方だ。困った事があったら俺を頼れな？さてと、たっぷり一日あるみてーだし寝るかな。リーザ、あんまし夜更かしすんなよ？,,,,,,,,,,,,,,,,,,,,,
8,8,プロローグ,少女リーザ,,,,,,,,,,狂人,私リザちゃん…議題が出たから答えるの…髭なのに勤勉なの…ヤングだから口裂け女とか赤マントとか知らないの…■1　おはようからおやすみまであなたの後ろにいるの…■2　更新前後にはいるようにするの。だからいつでもいいの…■3　特に無いの…あなたの後ろにいたいの…■4　私リザちゃん…私もそろそろ休むの…,,,,,,,,,,,,,,,,,,,,,
9,9,プロローグ,少女リーザ,,,,,,,,,,狂人,私リザちゃん…今貴方の布団の中にいるの…,,,,,,,,,,,,,,,,,,,,,
10,10,プロローグ,ならず者ディーター,,,,,,,,,,村人,なんだ…？りーざか…一緒に寝るのはいいけど髭がちくちくするとか言うなよ…ふあぁあ…おやすみ、いい夢見ろよ,,,,,,,,,,,,,,,,,,,,,
11,11,プロローグ,木こりトーマス,,,,,,,,,,村人,おはようなんだな。ネムネムなんだな。,,,,,,,,,,,,,,,,,,,,,
12,12,プロローグ,木こりトーマス,,,,,,,,,,村人,ディタは議題ありがとなんだな。■1.23:00から01:30までくらい■2.00:15／00:45■3.得にはないんだな。／暴言系はちょっと苦手なんだな。■4.木こりやってるトーマスなんだな。よろしくお願いしますなんだな。,,,,,,,,,,,,,,,,,,,,,
13,13,プロローグ,木こりトーマス,,,,,,,,,,村人,者>>4>>6　oO(口裂け女って「ワタシ綺麗？」って聞いてくるのだ？初めて知ったんだな)妙>>8　「ヤングだから?」が、非ヤングの視点漏れに見えるのは気のせいなのだ？ｗじゃあ、僕は木を伐りに出掛けてくるんだな。,,,,,,,,,,,,,,,,,,,,,
14,14,プロローグ,羊飼いカタリナ,,,,,,,,,,村人,[...は大きな茄子のような色の傘を突然広げた]うらめしやー。驚いた？,,,,,,,,,,,,,,,,,,,,,
15,15,プロローグ,羊飼いカタリナ,,,,,,,,,,村人,■1.不定期！　通行人を驚かすお仕事があるからね～　予定はちょくちょく言うよ。■2.本決定は00:45までがいいな～■3.特にないよ～／そこの赤いのと筋肉に賛同しておくよ～■4.唐傘お化けやってます。驚けー　最近は驚いてくれる人間が少ないけどね、とほほ。リ○ちゃんもいるんだね。仲間がいれば人間を驚かせられるかな？,,,,,,,,,,,,,,,,,,,,,
16,16,プロローグ,宿屋の女主人レジーナ,,,,,,,,,,村人,誰がぬりかべですって？,,,,,,,,,,,,,,,,,,,,,
17,17,プロローグ,ならず者ディーター,,,,,,,,,,村人,よぉ、人が増えてんな。良いことだトーマス>>13お前さてはヤングだな？カタリナ>>15唐傘おばけはどうやって撃退するんだったか…ま、こんな可愛いお化けなら追っ払う必要ないかレジーナ>>16ぬりかべに出会ったら、足払い。これ、豆な。,,,,,,,,,,,,,,,,,,,,,
18,18,プロローグ,木こりトーマス,,,,,,,,,,村人,羊>>15　人間を驚かせたいのに驚いてくれなくてしょんぼりしてるリナかわゆすなんだな(なでなでここの村人は妖怪慣れ？してる人が多そうだから、村興しとかして村外の人間がいっぱい来てくれたら、驚く人が多くなると思うんだな。宿>>16　ぬｗｗりｗｗかｗｗべｗｗ者>>17　僕は中途半端に非ヤングの知識があるだけのただのヤングなんだな。oO(ところで、ヤングって若者って意味で合ってるのだ？),,,,,,,,,,,,,,,,,,,,,
19,19,プロローグ,木こりトーマス,,,,,,,,,,村人,ぷひー、暑くてとろけそうなんだな……。ってわけで、かき氷を用意してみたんだな。よかったら、みんなにも食べてもらいたいんだな。つ[かき氷][かき氷][かき氷][かき氷][かき氷][かき氷][いちご][メロン][レモン][みぞれ][ブルーハワイ][抹茶][小豆][練乳],,,,,,,,,,,,,,,,,,,,,
20,20,プロローグ,少年ペーター,,,,,,,,,,人狼,アンニョンハセヨー！！,,,,,,,,,,,,,,,,,,,,,
21,21,プロローグ,少年ペーター,,,,,,,,,,人狼,ディタの議題解答します。■1.2300～2530、昼間でも鳩を使って確認します。■2.仮2400/本決定2430を希望でお願いします。■3.楽しい村にしたいです。■4.ペ・太郎です。自称鬼太郎のライバルです。宜しくお願いします。,,,,,,,,,,,,,,,,,,,,,
22,22,プロローグ,少年ペーター,,,,,,,,,,人狼,妖怪たちの特殊用語を教えます。［よく使う略号など］▼：吊り投票（処刑）第一希望▽：吊り投票（処刑）第二希望●：占い第一希望○：占い第二希望■：議題　□：ネタ議題　【　】：強調したい事柄（CO等）★：質問　☆：質問に対する返答CO：カミングアウト。能力者だと公言する事。FO：フルオープン。占霊と占霊騙りが全員名乗り出ることGJ：グッジョブ。狩が護衛成功すること。,,,,,,,,,,,,,,,,,,,,,
23,23,プロローグ,少年ペーター,,,,,,,,,,人狼,LW：ラストウルフ。最後に残った（残る）狼のこと。RP：ロールプレイ。キャラクター（演技）としての発言。＠数字：残り発言数　鳩：携帯電話　　箱：パソコン質問方法★「脱ダム宣言について県民の皆様に説明をお願いします。」☆「ダム・・・、無駄無駄無駄無無駄無駄無駄無無駄無駄無駄無駄ッ！」投票希望【▼新党日本】票が増えるよ、やったねやっしー。（田中康夫先生、本当にすみませんでした。）,,,,,,,,,,,,,,,,,,,,,
24,24,プロローグ,少年ペーター,,,,,,,,,,人狼,これ以上詳しい用語の確認は「　http://wolfbbs.jp/　」ここを利用する事を勧めます。また、【初参加者はその旨をエピまでＣＯしない事】【どうしようもないリアル事情以外の突然死は避けよう】最近、初参加者が増えている為初心者村が立ち上がっているけれど、他の人へ配慮する余裕がなくなってるように感じます。ここなら、経験者がサポートしてくれると思うし、箱の前の君もレッツトライ！！,,,,,,,,,,,,,,,,,,,,,
25,25,プロローグ,少年ペーター,,,,,,,,,,人狼,樵>>18村興しをするなら、妖怪もグローバル展開を視野に入れるといいかな、その為にも、頭文字Dの付く伯爵とかスカウトするといいかも。それと、ペの付くヤングなら食べたことあるよ。,,,,,,,,,,,,,,,,,,,,,
26,26,プロローグ,負傷兵シモン,,,,,,,,,,村人,ディータ?…そういうことは早く教えて欲しかった…おそらくお前があったやつと同じ女なんだろうなそもそも素顔も見せないで「ワタシ綺麗？」なんて答えにくいだろ？だからとりあえず「普通」って答えたらこの様だ,,,,,,,,,,,,,,,,,,,,,
27,27,プロローグ,負傷兵シモン,,,,,,,,,,村人,■1.2100～2500になるな。昼は鳩で確認＋軽めの発言なら。本格的に発言できるのは2200～になりそうだな■2.仮0015、本0045を希望■4.兵役に出てたんだが宿舎に帰る途中で口裂け女らしい奴に襲われて退役するしかなくなったで、故郷に帰ってみたらこっちでは人狼騒ぎときた…俺は何かに取り憑かれてるのか？,,,,,,,,,,,,,,,,,,,,,
28,28,プロローグ,負傷兵シモン,,,,,,,,,,村人,■3.「非霊COは霊COが出るまで無し。霊CO確認後の第１声で対抗COまたは非霊CO。占も同じ要領で」ってのを提案したいんだがどうだ？最近のこの国の流れだと、誰かが非COをするとなし崩し的にFOになることが多くないか？能力者が潜伏を希望するならそれ優先してやりたいってのが理由だ村有利・狼有利とか関係なしにただの希望だからな反論があれば強く主張するつもりはない,,,,,,,,,,,,,,,,,,,,,
29,29,プロローグ,負傷兵シモン,,,,,,,,,,村人,…なんだろうな。人狼に口裂け女に唐傘小僧に……リーザは本当になんなんだ？座敷わらしならまだいいんだろうが呪いの人形にしか見えないんだが…た、頼むから村興しに妖怪はやめないか？き、傷が疼く…,,,,,,,,,,,,,,,,,,,,,
30,30,プロローグ,羊飼いカタリナ,,,,,,,,,,村人,一言だけーシモン>>28　そういう戦術面にかかわることは、開始してから主張すべきだと思うー内容上早めに言っておきたい、ってのは分からなくはないけど、開幕直後に主張するしかないんじゃないかなあ？,,,,,,,,,,,,,,,,,,,,,
31,31,プロローグ,負傷兵シモン,,,,,,,,,,村人,>>30　カタリナ申し訳ない。そして指摘ありがとうそうだったな。１日目に発言するべき内容だった。それで入村を躊躇われてもまずいしな発言したものは取り消せないから…できることはこの程度か【俺>>28 の発言は無視してほしい。俺は１日目以降もこの主張はしない】これから主張するかもって思われても困るから、今後も主張しないことを明言しておく余計なことを書いてしまって申し訳ない,,,,,,,,,,,,,,,,,,,,,
32,32,プロローグ,ならず者ディーター,,,,,,,,,,村人,おぉシモン怪我をしてしまうとは情けない。ま、良い機会だと思ってのんびりするといいさ…できるかはまた別の話のようだがな…んで、シモンでも他のやつでも戦術的にやりたい事あったら初日始まって主張すりゃいいと俺は思うよ。もちろん、それがやりたくないとかできそうにないなと思うやつはそう主張すりゃいいしな。ま、あんま固くならずに行こうや。,,,,,,,,,,,,,,,,,,,,,
33,33,プロローグ,少女リーザ,,,,,,,,,,狂人,私リザちゃん…今負傷兵さんの後ろにいるの…皆よろしく哀愁なの…女将さんと木こりさんのどちらが真ぬりかべなのか考えているの…この真贋判定で村の行方が決まるといっても過言の滝じゃないの…,,,,,,,,,,,,,,,,,,,,,
34,34,プロローグ,少女リーザ,,,,,,,,,,狂人,私リザちゃん…負傷兵さんの後ろを赤いヒゲに取られたの…しかたがないので、負傷兵さんのバックは赤いヒゲさんに差し上げるの…,,,,,,,,,,,,,,,,,,,,,
35,35,プロローグ,神父ジムゾン,,,,,,,,,,人狼,あらディタちゃん、さっきは逃げちゃって悪かったわ。アタシ、あなたのかっこ良さに惚れて恥ずかしくなっちゃったのよ。,,,,,,,,,,,,,,,,,,,,,
36,36,プロローグ,ならず者ディーター,,,,,,,,,,村人,>>18トマさては…ヤング騙りだな？しかし暑くて溶けるわ…かき氷もらうな。王道はやっぱいちごミルクだよなぁ>>22ペタは用語解説さんきゅ。かき氷食いつつ怪談話でもして、人狼騒ぎもみんなで楽しもうや。>>34リザお、おう…悪りぃなoO（バック取れると何か良い事あるのか…？）,,,,,,,,,,,,,,,,,,,,,
37,37,プロローグ,ならず者ディーター,,,,,,,,,,村人,なんか…>>35辺りから涼しい風を感じるんだが…お、おう…ジム元気か？さっきのあれお前さんだったのか…いや、あんなでかいマスクつけてたからわかんなかったぜ…そういや、シモンあんなにしたのジムか？ちゃんと謝っとけよ？,,,,,,,,,,,,,,,,,,,,,
38,38,プロローグ,少女リーザ,,,,,,,,,,狂人,私リザちゃん…>>36　バックからばっちこーいなの…目がまるで糸のように裂けた神父さんもこんにちわ…ポマードをつける髪はどこかしら…今夜始まりそうなの…楽しみに待つの…,,,,,,,,,,,,,,,,,,,,,
